image,NV,MEL,BKL,BCC,AKIEC
ISIC_0024431,0.0,0.0,0.0,1.0,0.0
ISIC_0024432,0.0,0.0,0.0,1.0,0.0
ISIC_0024433,1.0,0.0,0.0,0.0,0.0
ISIC_0024434,1.0,0.0,0.0,0.0,0.0
ISIC_0024435,0.0,0.0,1.0,0.0,0.0
ISIC_0024436,0.0,0.0,0.0,1.0,0.0
ISIC_0024437,1.0,0.0,0.0,0.0,0.0
ISIC_0024438,1.0,0.0,0.0,0.0,0.0
ISIC_0024439,1.0,0.0,0.0,0.0,0.0
ISIC_0024440,1.0,0.0,0.0,0.0,0.0
ISIC_0024441,1.0,0.0,0.0,0.0,0.0
ISIC_0024442,1.0,0.0,0.0,0.0,0.0
ISIC_0024443,0.0,0.0,0.0,1.0,0.0
ISIC_0024444,1.0,0.0,0.0,0.0,0.0
ISIC_0024445,0.0,0.0,1.0,0.0,0.0
ISIC_0024446,0.0,0.0,1.0,0.0,0.0
ISIC_0024447,1.0,0.0,0.0,0.0,0.0
ISIC_0024448,0.0,0.0,0.0,1.0,0.0
ISIC_0024449,0.0,1.0,0.0,0.0,0.0
ISIC_0024450,0.0,0.0,0.0,0.0,1.0
ISIC_0024451,1.0,0.0,0.0,0.0,0.0
ISIC_0024452,0.0,0.0,0.0,1.0,0.0
ISIC_0024453,0.0,0.0,1.0,0.0,0.0
ISIC_0024454,0.0,0.0,0.0,1.0,0.0
ISIC_0024455,1.0,0.0,0.0,0.0,0.0
ISIC_0024456,1.0,0.0,0.0,0.0,0.0
ISIC_0024457,0.0,0.0,0.0,1.0,0.0
ISIC_0024458,1.0,0.0,0.0,0.0,0.0
ISIC_0024459,0.0,1.0,0.0,0.0,0.0
ISIC_0024460,1.0,0.0,0.0,0.0,0.0
ISIC_0024461,0.0,0.0,0.0,1.0,0.0
ISIC_0024462,1.0,0.0,0.0,0.0,0.0
ISIC_0024463,0.0,0.0,0.0,0.0,1.0
ISIC_0024464,1.0,0.0,0.0,0.0,0.0
ISIC_0024465,1.0,0.0,0.0,0.0,0.0
ISIC_0024466,1.0,0.0,0.0,0.0,0.0
ISIC_0024467,1.0,0.0,0.0,0.0,0.0
ISIC_0024468,0.0,0.0,0.0,0.0,1.0
ISIC_0024469,1.0,0.0,0.0,0.0,0.0
ISIC_0024470,0.0,0.0,0.0,0.0,1.0
ISIC_0024471,0.0,0.0,1.0,0.0,0.0
ISIC_0024472,0.0,0.0,0.0,1.0,0.0
ISIC_0024473,1.0,0.0,0.0,0.0,0.0
ISIC_0024474,1.0,0.0,0.0,0.0,0.0
ISIC_0024476,1.0,0.0,0.0,0.0,0.0
ISIC_0024477,0.0,0.0,1.0,0.0,0.0
ISIC_0024478,1.0,0.0,0.0,0.0,0.0
ISIC_0024479,1.0,0.0,0.0,0.0,0.0
ISIC_0024480,1.0,0.0,0.0,0.0,0.0
ISIC_0024481,0.0,1.0,0.0,0.0,0.0
ISIC_0024482,0.0,1.0,0.0,0.0,0.0
ISIC_0024483,1.0,0.0,0.0,0.0,0.0
ISIC_0024484,1.0,0.0,0.0,0.0,0.0
ISIC_0024485,1.0,0.0,0.0,0.0,0.0
ISIC_0024486,1.0,0.0,0.0,0.0,0.0
ISIC_0024487,1.0,0.0,0.0,0.0,0.0
ISIC_0024488,1.0,0.0,0.0,0.0,0.0
ISIC_0024489,0.0,0.0,1.0,0.0,0.0
ISIC_0024490,0.0,0.0,1.0,0.0,0.0
ISIC_0024491,1.0,0.0,0.0,0.0,0.0
ISIC_0024492,1.0,0.0,0.0,0.0,0.0
ISIC_0024493,1.0,0.0,0.0,0.0,0.0
ISIC_0024494,0.0,0.0,1.0,0.0,0.0
ISIC_0024495,0.0,0.0,1.0,0.0,0.0
ISIC_0024496,0.0,1.0,0.0,0.0,0.0
ISIC_0024497,1.0,0.0,0.0,0.0,0.0
ISIC_0024498,0.0,0.0,1.0,0.0,0.0
ISIC_0024499,1.0,0.0,0.0,0.0,0.0
ISIC_0024500,1.0,0.0,0.0,0.0,0.0
ISIC_0024501,1.0,0.0,0.0,0.0,0.0
ISIC_0024502,1.0,0.0,0.0,0.0,0.0
ISIC_0024503,1.0,0.0,0.0,0.0,0.0
ISIC_0024504,0.0,0.0,0.0,1.0,0.0
ISIC_0024505,0.0,0.0,1.0,0.0,0.0
ISIC_0024506,1.0,0.0,0.0,0.0,0.0
ISIC_0024507,1.0,0.0,0.0,0.0,0.0
ISIC_0024508,1.0,0.0,0.0,0.0,0.0
ISIC_0024509,1.0,0.0,0.0,0.0,0.0
ISIC_0024510,1.0,0.0,0.0,0.0,0.0
ISIC_0024511,0.0,0.0,0.0,0.0,1.0
ISIC_0024512,1.0,0.0,0.0,0.0,0.0
ISIC_0024513,1.0,0.0,0.0,0.0,0.0
ISIC_0024514,1.0,0.0,0.0,0.0,0.0
ISIC_0024515,0.0,0.0,0.0,1.0,0.0
ISIC_0024516,0.0,1.0,0.0,0.0,0.0
ISIC_0024517,0.0,0.0,0.0,0.0,1.0
ISIC_0024518,1.0,0.0,0.0,0.0,0.0
ISIC_0024519,1.0,0.0,0.0,0.0,0.0
ISIC_0024520,1.0,0.0,0.0,0.0,0.0
ISIC_0024521,1.0,0.0,0.0,0.0,0.0
ISIC_0024522,0.0,0.0,0.0,0.0,1.0
ISIC_0024523,1.0,0.0,0.0,0.0,0.0
ISIC_0024524,1.0,0.0,0.0,0.0,0.0
ISIC_0024525,0.0,1.0,0.0,0.0,0.0
ISIC_0024526,1.0,0.0,0.0,0.0,0.0
ISIC_0024527,1.0,0.0,0.0,0.0,0.0
ISIC_0024528,1.0,0.0,0.0,0.0,0.0
ISIC_0024529,1.0,0.0,0.0,0.0,0.0
ISIC_0024530,1.0,0.0,0.0,0.0,0.0
ISIC_0024531,1.0,0.0,0.0,0.0,0.0
ISIC_0024532,1.0,0.0,0.0,0.0,0.0
ISIC_0024533,1.0,0.0,0.0,0.0,0.0
ISIC_0024534,1.0,0.0,0.0,0.0,0.0
ISIC_0024535,1.0,0.0,0.0,0.0,0.0
ISIC_0024536,1.0,0.0,0.0,0.0,0.0
ISIC_0024537,0.0,1.0,0.0,0.0,0.0
ISIC_0024538,1.0,0.0,0.0,0.0,0.0
ISIC_0024539,0.0,0.0,0.0,0.0,1.0
ISIC_0024540,1.0,0.0,0.0,0.0,0.0
ISIC_0024541,1.0,0.0,0.0,0.0,0.0
ISIC_0024542,1.0,0.0,0.0,0.0,0.0
ISIC_0024543,1.0,0.0,0.0,0.0,0.0
ISIC_0024544,1.0,0.0,0.0,0.0,0.0
ISIC_0024545,0.0,1.0,0.0,0.0,0.0
ISIC_0024546,0.0,1.0,0.0,0.0,0.0
ISIC_0024547,0.0,0.0,1.0,0.0,0.0
ISIC_0024548,1.0,0.0,0.0,0.0,0.0
ISIC_0024549,1.0,0.0,0.0,0.0,0.0
ISIC_0024550,0.0,0.0,0.0,1.0,0.0
ISIC_0024551,1.0,0.0,0.0,0.0,0.0
ISIC_0024552,0.0,1.0,0.0,0.0,0.0
ISIC_0024554,0.0,1.0,0.0,0.0,0.0
ISIC_0024555,1.0,0.0,0.0,0.0,0.0
ISIC_0024556,1.0,0.0,0.0,0.0,0.0
ISIC_0024557,1.0,0.0,0.0,0.0,0.0
ISIC_0024558,1.0,0.0,0.0,0.0,0.0
ISIC_0024559,1.0,0.0,0.0,0.0,0.0
ISIC_0024560,1.0,0.0,0.0,0.0,0.0
ISIC_0024561,1.0,0.0,0.0,0.0,0.0
ISIC_0024562,0.0,0.0,0.0,0.0,1.0
ISIC_0024563,1.0,0.0,0.0,0.0,0.0
ISIC_0024564,0.0,0.0,0.0,1.0,0.0
ISIC_0024565,1.0,0.0,0.0,0.0,0.0
ISIC_0024566,1.0,0.0,0.0,0.0,0.0
ISIC_0024567,1.0,0.0,0.0,0.0,0.0
ISIC_0024568,1.0,0.0,0.0,0.0,0.0
ISIC_0024569,1.0,0.0,0.0,0.0,0.0
ISIC_0024570,1.0,0.0,0.0,0.0,0.0
ISIC_0024571,0.0,1.0,0.0,0.0,0.0
ISIC_0024572,0.0,0.0,0.0,1.0,0.0
ISIC_0024573,0.0,0.0,0.0,1.0,0.0
ISIC_0024574,1.0,0.0,0.0,0.0,0.0
ISIC_0024575,0.0,0.0,0.0,0.0,1.0
ISIC_0024576,1.0,0.0,0.0,0.0,0.0
ISIC_0024577,1.0,0.0,0.0,0.0,0.0
ISIC_0024578,1.0,0.0,0.0,0.0,0.0
ISIC_0024579,0.0,0.0,0.0,0.0,1.0
ISIC_0024580,1.0,0.0,0.0,0.0,0.0
ISIC_0024581,0.0,0.0,1.0,0.0,0.0
ISIC_0024582,0.0,0.0,0.0,1.0,0.0
ISIC_0024583,1.0,0.0,0.0,0.0,0.0
ISIC_0024584,1.0,0.0,0.0,0.0,0.0
ISIC_0024585,1.0,0.0,0.0,0.0,0.0
ISIC_0024586,0.0,1.0,0.0,0.0,0.0
ISIC_0024587,1.0,0.0,0.0,0.0,0.0
ISIC_0024588,1.0,0.0,0.0,0.0,0.0
ISIC_0024589,1.0,0.0,0.0,0.0,0.0
ISIC_0024590,0.0,0.0,0.0,1.0,0.0
ISIC_0024591,1.0,0.0,0.0,0.0,0.0
ISIC_0024592,0.0,0.0,1.0,0.0,0.0
ISIC_0024593,1.0,0.0,0.0,0.0,0.0
ISIC_0024594,1.0,0.0,0.0,0.0,0.0
ISIC_0024595,0.0,0.0,0.0,1.0,0.0
ISIC_0024596,1.0,0.0,0.0,0.0,0.0
ISIC_0024597,1.0,0.0,0.0,0.0,0.0
ISIC_0024598,1.0,0.0,0.0,0.0,0.0
ISIC_0024599,1.0,0.0,0.0,0.0,0.0
ISIC_0024600,1.0,0.0,0.0,0.0,0.0
ISIC_0024601,1.0,0.0,0.0,0.0,0.0
ISIC_0024602,0.0,0.0,1.0,0.0,0.0
ISIC_0024603,1.0,0.0,0.0,0.0,0.0
ISIC_0024604,1.0,0.0,0.0,0.0,0.0
ISIC_0024605,1.0,0.0,0.0,0.0,0.0
ISIC_0024606,1.0,0.0,0.0,0.0,0.0
ISIC_0024607,1.0,0.0,0.0,0.0,0.0
ISIC_0024608,1.0,0.0,0.0,0.0,0.0
ISIC_0024609,1.0,0.0,0.0,0.0,0.0
ISIC_0024610,1.0,0.0,0.0,0.0,0.0
ISIC_0024611,1.0,0.0,0.0,0.0,0.0
ISIC_0024612,0.0,0.0,1.0,0.0,0.0
ISIC_0024613,1.0,0.0,0.0,0.0,0.0
ISIC_0024614,1.0,0.0,0.0,0.0,0.0
ISIC_0024615,1.0,0.0,0.0,0.0,0.0
ISIC_0024616,1.0,0.0,0.0,0.0,0.0
ISIC_0024617,1.0,0.0,0.0,0.0,0.0
ISIC_0024618,1.0,0.0,0.0,0.0,0.0
ISIC_0024619,1.0,0.0,0.0,0.0,0.0
ISIC_0024620,1.0,0.0,0.0,0.0,0.0
ISIC_0024621,1.0,0.0,0.0,0.0,0.0
ISIC_0024622,1.0,0.0,0.0,0.0,0.0
ISIC_0024623,0.0,0.0,1.0,0.0,0.0
ISIC_0024624,0.0,1.0,0.0,0.0,0.0
ISIC_0024625,1.0,0.0,0.0,0.0,0.0
ISIC_0024626,0.0,0.0,1.0,0.0,0.0
ISIC_0024627,1.0,0.0,0.0,0.0,0.0
ISIC_0024628,1.0,0.0,0.0,0.0,0.0
ISIC_0024629,1.0,0.0,0.0,0.0,0.0
ISIC_0024630,0.0,1.0,0.0,0.0,0.0
ISIC_0024631,1.0,0.0,0.0,0.0,0.0
ISIC_0024632,0.0,0.0,0.0,1.0,0.0
ISIC_0024633,1.0,0.0,0.0,0.0,0.0
ISIC_0024634,0.0,0.0,0.0,1.0,0.0
ISIC_0024635,0.0,0.0,1.0,0.0,0.0
ISIC_0024636,1.0,0.0,0.0,0.0,0.0
ISIC_0024637,1.0,0.0,0.0,0.0,0.0
ISIC_0024638,1.0,0.0,0.0,0.0,0.0
ISIC_0024639,1.0,0.0,0.0,0.0,0.0
ISIC_0024640,0.0,1.0,0.0,0.0,0.0
ISIC_0024641,1.0,0.0,0.0,0.0,0.0
ISIC_0024642,1.0,0.0,0.0,0.0,0.0
ISIC_0024643,0.0,0.0,1.0,0.0,0.0
ISIC_0024644,0.0,1.0,0.0,0.0,0.0
ISIC_0024645,1.0,0.0,0.0,0.0,0.0
ISIC_0024646,0.0,0.0,0.0,0.0,1.0
ISIC_0024647,0.0,1.0,0.0,0.0,0.0
ISIC_0024648,1.0,0.0,0.0,0.0,0.0
ISIC_0024649,1.0,0.0,0.0,0.0,0.0
ISIC_0024650,1.0,0.0,0.0,0.0,0.0
ISIC_0024651,1.0,0.0,0.0,0.0,0.0
ISIC_0024652,0.0,1.0,0.0,0.0,0.0
ISIC_0024653,1.0,0.0,0.0,0.0,0.0
ISIC_0024654,0.0,0.0,0.0,0.0,1.0
ISIC_0024655,1.0,0.0,0.0,0.0,0.0
ISIC_0024656,1.0,0.0,0.0,0.0,0.0
ISIC_0024657,1.0,0.0,0.0,0.0,0.0
ISIC_0024658,1.0,0.0,0.0,0.0,0.0
ISIC_0024659,1.0,0.0,0.0,0.0,0.0
ISIC_0024660,1.0,0.0,0.0,0.0,0.0
ISIC_0024661,1.0,0.0,0.0,0.0,0.0
ISIC_0024663,1.0,0.0,0.0,0.0,0.0
ISIC_0024664,1.0,0.0,0.0,0.0,0.0
ISIC_0024665,0.0,0.0,0.0,1.0,0.0
ISIC_0024666,0.0,0.0,0.0,1.0,0.0
ISIC_0024667,1.0,0.0,0.0,0.0,0.0
ISIC_0024668,1.0,0.0,0.0,0.0,0.0
ISIC_0024670,1.0,0.0,0.0,0.0,0.0
ISIC_0024671,1.0,0.0,0.0,0.0,0.0
ISIC_0024672,0.0,0.0,1.0,0.0,0.0
ISIC_0024673,0.0,0.0,0.0,1.0,0.0
ISIC_0024674,1.0,0.0,0.0,0.0,0.0
ISIC_0024675,0.0,1.0,0.0,0.0,0.0
ISIC_0024676,0.0,0.0,1.0,0.0,0.0
ISIC_0024677,1.0,0.0,0.0,0.0,0.0
ISIC_0024678,1.0,0.0,0.0,0.0,0.0
ISIC_0024679,0.0,1.0,0.0,0.0,0.0
ISIC_0024680,1.0,0.0,0.0,0.0,0.0
ISIC_0024681,1.0,0.0,0.0,0.0,0.0
ISIC_0024682,1.0,0.0,0.0,0.0,0.0
ISIC_0024683,1.0,0.0,0.0,0.0,0.0
ISIC_0024684,1.0,0.0,0.0,0.0,0.0
ISIC_0024685,1.0,0.0,0.0,0.0,0.0
ISIC_0024686,1.0,0.0,0.0,0.0,0.0
ISIC_0024687,1.0,0.0,0.0,0.0,0.0
ISIC_0024688,0.0,1.0,0.0,0.0,0.0
ISIC_0024689,1.0,0.0,0.0,0.0,0.0
ISIC_0024690,1.0,0.0,0.0,0.0,0.0
ISIC_0024691,1.0,0.0,0.0,0.0,0.0
ISIC_0024692,1.0,0.0,0.0,0.0,0.0
ISIC_0024693,1.0,0.0,0.0,0.0,0.0
ISIC_0024694,1.0,0.0,0.0,0.0,0.0
ISIC_0024695,1.0,0.0,0.0,0.0,0.0
ISIC_0024696,0.0,0.0,1.0,0.0,0.0
ISIC_0024697,1.0,0.0,0.0,0.0,0.0
ISIC_0024698,1.0,0.0,0.0,0.0,0.0
ISIC_0024699,1.0,0.0,0.0,0.0,0.0
ISIC_0024700,0.0,1.0,0.0,0.0,0.0
ISIC_0024701,0.0,1.0,0.0,0.0,0.0
ISIC_0024702,0.0,1.0,0.0,0.0,0.0
ISIC_0024703,1.0,0.0,0.0,0.0,0.0
ISIC_0024704,1.0,0.0,0.0,0.0,0.0
ISIC_0024705,0.0,0.0,1.0,0.0,0.0
ISIC_0024707,0.0,0.0,0.0,0.0,1.0
ISIC_0024708,0.0,0.0,1.0,0.0,0.0
ISIC_0024709,0.0,0.0,1.0,0.0,0.0
ISIC_0024710,0.0,0.0,0.0,0.0,1.0
ISIC_0024711,0.0,0.0,1.0,0.0,0.0
ISIC_0024712,1.0,0.0,0.0,0.0,0.0
ISIC_0024713,1.0,0.0,0.0,0.0,0.0
ISIC_0024714,1.0,0.0,0.0,0.0,0.0
ISIC_0024715,1.0,0.0,0.0,0.0,0.0
ISIC_0024716,1.0,0.0,0.0,0.0,0.0
ISIC_0024717,1.0,0.0,0.0,0.0,0.0
ISIC_0024718,1.0,0.0,0.0,0.0,0.0
ISIC_0024719,1.0,0.0,0.0,0.0,0.0
ISIC_0024720,1.0,0.0,0.0,0.0,0.0
ISIC_0024721,1.0,0.0,0.0,0.0,0.0
ISIC_0024722,1.0,0.0,0.0,0.0,0.0
ISIC_0024723,1.0,0.0,0.0,0.0,0.0
ISIC_0024724,1.0,0.0,0.0,0.0,0.0
ISIC_0024725,1.0,0.0,0.0,0.0,0.0
ISIC_0024726,0.0,0.0,1.0,0.0,0.0
ISIC_0024727,1.0,0.0,0.0,0.0,0.0
ISIC_0024728,1.0,0.0,0.0,0.0,0.0
ISIC_0024729,0.0,1.0,0.0,0.0,0.0
ISIC_0024730,1.0,0.0,0.0,0.0,0.0
ISIC_0024731,1.0,0.0,0.0,0.0,0.0
ISIC_0024732,0.0,1.0,0.0,0.0,0.0
ISIC_0024733,0.0,1.0,0.0,0.0,0.0
ISIC_0024734,1.0,0.0,0.0,0.0,0.0
ISIC_0024735,1.0,0.0,0.0,0.0,0.0
ISIC_0024736,1.0,0.0,0.0,0.0,0.0
ISIC_0024737,1.0,0.0,0.0,0.0,0.0
ISIC_0024738,1.0,0.0,0.0,0.0,0.0
ISIC_0024739,0.0,1.0,0.0,0.0,0.0
ISIC_0024740,0.0,0.0,1.0,0.0,0.0
ISIC_0024741,0.0,0.0,1.0,0.0,0.0
ISIC_0024742,1.0,0.0,0.0,0.0,0.0
ISIC_0024743,0.0,0.0,0.0,1.0,0.0
ISIC_0024744,1.0,0.0,0.0,0.0,0.0
ISIC_0024745,1.0,0.0,0.0,0.0,0.0
ISIC_0024746,1.0,0.0,0.0,0.0,0.0
ISIC_0024748,0.0,0.0,1.0,0.0,0.0
ISIC_0024749,1.0,0.0,0.0,0.0,0.0
ISIC_0024750,1.0,0.0,0.0,0.0,0.0
ISIC_0024751,1.0,0.0,0.0,0.0,0.0
ISIC_0024752,1.0,0.0,0.0,0.0,0.0
ISIC_0024753,1.0,0.0,0.0,0.0,0.0
ISIC_0024754,1.0,0.0,0.0,0.0,0.0
ISIC_0024755,1.0,0.0,0.0,0.0,0.0
ISIC_0024756,0.0,1.0,0.0,0.0,0.0
ISIC_0024757,1.0,0.0,0.0,0.0,0.0
ISIC_0024758,0.0,0.0,1.0,0.0,0.0
ISIC_0024759,1.0,0.0,0.0,0.0,0.0
ISIC_0024760,0.0,0.0,1.0,0.0,0.0
ISIC_0024761,0.0,0.0,1.0,0.0,0.0
ISIC_0024762,1.0,0.0,0.0,0.0,0.0
ISIC_0024763,0.0,0.0,0.0,0.0,1.0
ISIC_0024764,1.0,0.0,0.0,0.0,0.0
ISIC_0024765,1.0,0.0,0.0,0.0,0.0
ISIC_0024766,1.0,0.0,0.0,0.0,0.0
ISIC_0024767,0.0,1.0,0.0,0.0,0.0
ISIC_0024768,1.0,0.0,0.0,0.0,0.0
ISIC_0024769,1.0,0.0,0.0,0.0,0.0
ISIC_0024770,0.0,0.0,1.0,0.0,0.0
ISIC_0024771,0.0,0.0,0.0,0.0,1.0
ISIC_0024772,0.0,0.0,1.0,0.0,0.0
ISIC_0024773,0.0,0.0,1.0,0.0,0.0
ISIC_0024774,0.0,0.0,1.0,0.0,0.0
ISIC_0024775,1.0,0.0,0.0,0.0,0.0
ISIC_0024776,1.0,0.0,0.0,0.0,0.0
ISIC_0024777,1.0,0.0,0.0,0.0,0.0
ISIC_0024778,1.0,0.0,0.0,0.0,0.0
ISIC_0024779,1.0,0.0,0.0,0.0,0.0
ISIC_0024780,1.0,0.0,0.0,0.0,0.0
ISIC_0024781,1.0,0.0,0.0,0.0,0.0
ISIC_0024782,0.0,0.0,1.0,0.0,0.0
ISIC_0024783,1.0,0.0,0.0,0.0,0.0
ISIC_0024784,1.0,0.0,0.0,0.0,0.0
ISIC_0024785,1.0,0.0,0.0,0.0,0.0
ISIC_0024786,0.0,0.0,1.0,0.0,0.0
ISIC_0024787,0.0,0.0,0.0,1.0,0.0
ISIC_0024788,1.0,0.0,0.0,0.0,0.0
ISIC_0024789,1.0,0.0,0.0,0.0,0.0
ISIC_0024790,1.0,0.0,0.0,0.0,0.0
ISIC_0024791,1.0,0.0,0.0,0.0,0.0
ISIC_0024792,0.0,1.0,0.0,0.0,0.0
ISIC_0024793,1.0,0.0,0.0,0.0,0.0
ISIC_0024794,1.0,0.0,0.0,0.0,0.0
ISIC_0024795,0.0,0.0,0.0,1.0,0.0
ISIC_0024796,1.0,0.0,0.0,0.0,0.0
ISIC_0024797,1.0,0.0,0.0,0.0,0.0
ISIC_0024798,1.0,0.0,0.0,0.0,0.0
ISIC_0024799,0.0,0.0,0.0,1.0,0.0
